Route,RouteNum,Dir,EOL
1,1,Inbound,West End Stn
1,1,Outbound,Arts Center Stn
2,2,Inbound,Candler Park Stn
2,2,Outbound,Bankhead Stn
2L,2,Inbound,Candler Park Stn
2L,2,Outbound,UPS Distribution Ctr
3,3,Inbound,Ashby Stn
3,3,Outbound,HE Holmes Stn
4,4,Inbound,Constitution Rd
4,4,Outbound,Inman Park Stn
5,5,Inbound,Dunwoody Stn
5,5,Outbound,Lindbergh Ctr Stn
7,7,Inbound,West End Stn
7,7,Outbound,Lindbergh Ctr Stn
11,11,Inbound,2144 Hills Avenue
11,11,Outbound,EXECUTIVE PARK DR NE @ ORTHO LN
12,12,Inbound,Midtown Stn
12,12,Outbound,Cumberland TC
14,14,Inbound,Midtown Stn
14,14,Outbound,HE Holmes Stn
15,15,Inbound,Lindbergh Ctr Stn
15,15,Outbound,South Park Blvd
15L,15,Inbound,Lindbergh Ctr Stn
15L,15,Outbound,South Park Blvd
17,17,Inbound,Lenox Stn
17,17,Outbound,Avondale Stn
20,20,Inbound,Five Points Stn
20,20,Outbound,South DeKalb Mall
20L,20,Inbound,Five Points Stn
20L,20,Outbound,Mall at Stonecrest
20p,20,Inbound,Five Points Stn
20p,20,Outbound,Xpress P&R Lot
21,21,Inbound,West Lake Stn
21,21,Outbound,Kensington Stn
22,22,Inbound,Ashview Triangle
22,22,Outbound,Indian Creek Stn
25,25,Inbound,Chamblee Stn
25,25,Outbound,Lenox Stn
26a,26,Inbound,Bankhead Stn
26a,26,Outbound,HE Homes Stn
26b,26,Inbound,Bankhead Stn
26b,26,Outbound,HE Homes Stn
32,32,Inbound,Linecrest Rd
32,32,Outbound,Inman Park Stn
34,34,Inbound,East Lake Stn
34,34,Outbound,South DeKalb Mall
39,39,Inbound,Doraville Stn
39,39,Outbound,Lindbergh Ctr Stn
42,42,Inbound,Five Points Stn
42,42,Outbound,Lakewood Stn
46,46,Inbound,Brookhaven Stn
46,46,Outbound,Century Center
48,48,Inbound,Brookhaven Stn
48,48,Outbound,Shallowford Road
49,49,Inbound,North Avenue Stn
49,49,Outbound,Thomasville Heights
49L,49,Inbound,North Avenue Stn
49L,49,Outbound,South DeKalb Mall
51,51,Inbound,Candler Park Stn
51,51,Outbound,West Lake Stn
55,55,Inbound,Forest Park
55,55,Outbound,Five Points Stn
66,66,Inbound,Greenbriar Mall
66,66,Outbound,HE Holmes Stn
71,71,Inbound,West End Stn
71,71,Outbound,Cascade Rd SW/Old Cascade Rd SW
71a,71,Inbound,West End Stn
71a,71,Outbound,Ashley Cascade Apt
71b,71,Inbound,West End Stn
71b,71,Outbound,Boat Rock Rd/Reynolds Rd SW
73,73,Inbound,HE Homes Stn
73,73,Outbound,Boat Rock Rd/Reynolds Rd SW
74,74,Inbound,South DeKalb Mall
74,74,Outbound,Inman Park Stn
78,78,Inbound,Jonesboro Rd
78,78,Outbound,East Point Stn
79,79,Inbound,Oakland City Stn
79,79,Outbound,Hapeville
80,80,Inbound,East Point Stn
80,80,Outbound,Boat Rock Rd SW/Westchase St
81,81,Inbound,East Point Stn
81,81,Outbound,West End Stn
83,83,Inbound,Oakland City Stn
83,83,Outbound,Barge RdP&R Lot
84,84,Inbound,East Point Stn
84,84,Outbound,Centre Pkwy 3201
84a,84,Inbound,East Point Stn
84a,84,Outbound,Centre Pkwy 3201
84b,84,Inbound,East Point Stn
84b,84,Outbound,Centre Pkwy 3201
85,85,Inbound,North Springs Stn
85,85,Outbound,Mansell P&R Lot
87,87,Inbound,Doraville Stn
87,87,Outbound,North Springs Stn
89a,89,Inbound,College Park Stn
89a,89,Outbound,Union City
89b,89,Inbound,College Park Stn
89b,89,Outbound,Riverdale P&R
95,95,Inbound,West End Stn
95,95,Outbound,Sylvan Rd
96,96,Inbound,College Park Stn
96,96,Outbound,Lakewood Stn
104,104,Inbound,Peeler Rd
104,104,Outbound,Doraville Stn
109,109,Inbound,Kensington Stn
109,109,Outbound,South DeKalb Mall
110,110,Inbound,Lenox Stn
110,110,Outbound,Arts Center Stn
111,111,Inbound,Kensington Stn
111,111,Outbound,South DeKalb Mall
114,114,Inbound,Decatur Stn
114,114,Outbound,Xpress P&R Lot
115,115,Inbound,Avondale Stn
115,115,Outbound,Mall at Stonecrest
116,116,Inbound,Kensington Stn
116,116,Outbound,Mall at Stonecrest
117,117,Inbound,Xpress P&R Lot
117,117,Outbound,Kensington Stn
118,118,Inbound,Juliette Rd
118,118,Outbound,Avondale Stn
119,119,Inbound,Kensington Stn
119,119,Outbound,Goldsmith P&R Lot
120,120,Inbound,Decatur Stn
120,120,Outbound,Juliette Rd
121,121,Inbound,Kensington Stn
121,121,Outbound,Greer Cir
121L,121,Inbound,Kensington Stn
121L,121,Outbound,Doraville Stn
122,122,Inbound,Greer Cir
122,122,Outbound,Avondale Stn
125,125,Inbound,Dunwoody Stn
125,125,Outbound,Kensington Stn
127,127,Inbound,Emory Decatur Hosp
127,127,Outbound,Vista Brook Dr
132,132,Inbound,Mt Vernon Rd
132,132,Outbound,Chamblee Stn
143,143,Inbound,North Springs Stn
143,143,Outbound,Deerfield Pkwy
144,144,Inbound,North Springs Stn
144,144,Outbound,Old Milton Pkwy
154,154,Inbound,Skipper Dr
154,154,Outbound,HE Holmes Stn
156,156,Inbound,Boulder Park Dr
156,156,Outbound,HE Holmes Stn
162,162,Inbound,Oakland City Stn
162,162,Outbound,Myrtle Dr
165,165,Inbound,HE Holmes Stn
