StopAbbr,Lines
213832,193 Morrow / Jonesboro (Inbound)
213831,193 Morrow / Jonesboro (Outbound)
213830,"21 Memorial Drive (Inbound), 22 Glenwood (Inbound)"
213829,154 Fairburn Heights (Outbound)
213825,184 Buffington (Inbound)
213824,26b Perry / Hamilton E Holmes / Jackson (Outbound)
213823,71b Cascade / Fulton Industrial (Inbound)
213816,79 Sylvan Hills (Outbound)
213815,79 Sylvan Hills (Outbound)
213814,198 Southlake Parkway (Outbound)
213813,198 Southlake Parkway (Outbound)
213812,198 Southlake Parkway (Outbound)
213811,198 Southlake Parkway (Outbound)
213810,198 Southlake Parkway (Outbound)
213809,198 Southlake Parkway (Outbound)
213808,198 Southlake Parkway (Outbound)
213807,198 Southlake Parkway (Outbound)
213806,198 Southlake Parkway (Outbound)
213805,198 Southlake Parkway (Inbound)
213804,198 Southlake Parkway (Inbound)
213803,198 Southlake Parkway (Inbound)
213802,198 Southlake Parkway (Inbound)
213801,198 Southlake Parkway (Inbound)
213800,198 Southlake Parkway (Inbound)
213799,198 Southlake Parkway (Inbound)
213798,198 Southlake Parkway (Inbound)
213797,198 Southlake Parkway (Outbound)
213796,198 Southlake Parkway (Inbound)
213795,197 Battle Creek Road (Inbound)
213794,197 Battle Creek Road (Inbound)
213793,197 Battle Creek Road (Outbound)
213792,197 Battle Creek Road (Inbound)
213791,197 Battle Creek Road (Inbound)
213790,197 Battle Creek Road (Inbound)
213787,197 Battle Creek Road (Outbound)
213788,197 Battle Creek Road (Inbound)
213789,197 Battle Creek Road (Outbound)
213786,197 Battle Creek Road (Outbound)
213785,197 Battle Creek Road (Outbound)
213784,197 Battle Creek Road (Outbound)
213783,197 Battle Creek Road (Inbound)
213782,197 Battle Creek Road (Inbound)
213781,197 Battle Creek Road (Outbound)
213780,197 Battle Creek Road (Inbound)
213779,197 Battle Creek Road (Inbound)
213778,197 Battle Creek Road (Inbound)
213777,197 Battle Creek Road (Inbound)
213776,197 Battle Creek Road (Inbound)
213775,197 Battle Creek Road (Inbound)
213774,197 Battle Creek Road (Inbound)
213773,197 Battle Creek Road (Outbound)
213772,197 Battle Creek Road (Inbound)
213771,197 Battle Creek Road (Outbound)
213770,197 Battle Creek Road (Outbound)
213769,197 Battle Creek Road (Outbound)
213768,197 Battle Creek Road (Outbound)
213767,197 Battle Creek Road (Outbound)
213766,197 Battle Creek Road (Outbound)
213765,197 Battle Creek Road (Outbound)
213764,198 Southlake Parkway (Outbound)
213763,198 Southlake Parkway (Inbound)
213762,197 Battle Creek Road (Inbound&Outbound)
213761,197 Battle Creek Road (Outbound)
213758,182 Fulton Hwy / Union City (Inbound&Outbound)
213754,81 Venetian Hills / Connally (Inbound)
213753,81 Venetian Hills / Connally (Inbound)
213752,81 Venetian Hills / Connally (Inbound)
213751,81 Venetian Hills / Connally (Inbound)
213750,81 Venetian Hills / Connally (Inbound)
213760,"21 Memorial Drive (Outbound), 22 Glenwood (Outbound)"
213747,81 Venetian Hills / Connally (Outbound)
213746,81 Venetian Hills / Connally (Outbound)
213745,81 Venetian Hills / Connally (Outbound)
213744,81 Venetian Hills / Connally (Outbound)
213743,192 Old Dixie / Tara Boulevard (Inbound)
213732,"49 Hank Aaron / McDonough (Outbound), 49L Hank Aaron / McDonough / Constitution (Outbound)"
213730,"187 Airport Loop (Inbound&Outbound), 196 Upper Riverdale (Outbound)"
213729,196 Upper Riverdale (Inbound)
213728,187 Airport Loop (Inbound)
213727,187 Airport Loop (Outbound)
213725,165 Fairburn (Outbound)
213719,117 Stone Mountain / Panola (Inbound)
213718,117 Stone Mountain / Panola (Outbound)
213717,184 Buffington (Outbound)
213702,15L Clifton / Panthersville (Outbound)
213701,114 Columbia / Snapfinger (Outbound)
213699,192 Old Dixie / Tara Boulevard (Inbound)
213685,193 Morrow / Jonesboro (Outbound)
213683,"49 Hank Aaron / McDonough (Outbound), 49L Hank Aaron / McDonough / Constitution (Outbound)"
213682,89b Old National Highway / Riverdale (Inbound)
213681,89b Old National Highway / Riverdale (Outbound)
213680,"89a Old National Highway / Flat Shoals (Outbound), 89b Old National Highway / Riverdale (Outbound)"
213679,"26a Perry / Hamilton E Holmes / Bolton (Outbound), 26b Perry / Hamilton E Holmes / Jackson (Outbound)"
213677,89b Old National Highway / Riverdale (Outbound)
213676,89b Old National Highway / Riverdale (Inbound)
213675,"191a Riverdale / Charlotte Woods (Inbound), 191b Riverdale / Flint River (Inbound)"
213674,12 Howell Mill / 10th (Outbound)
213673,193 Morrow / Jonesboro (Inbound&Outbound)
213670,14 Holmes / Blandtown (Outbound)
213669,20L Rainbow / Fairington (Inbound&Outbound)
213666,89b Old National Highway / Riverdale (Inbound)
213665,"26a Perry / Hamilton E Holmes / Bolton (Inbound), 26b Perry / Hamilton E Holmes / Jackson (Inbound)"
213662,196 Upper Riverdale (Outbound)
213661,"11 Defoor / Emery (Inbound), 1 Joseph Lowery / 17th (Outbound)"
213659,182 Fulton Hwy / Union City (Inbound)
213654,115 Covington Hwy (Outbound)
213651,122 Lawrenceville Hwy (Inbound)
213646,154 Fairburn Heights (Inbound)
213643,"118 Rockridge / Stone Mountain (Inbound), 120 E Ponce De Leon (Inbound)"
213642,120 E Ponce De Leon (Inbound)
213641,55 Jonesboro (Inbound)
213640,87 Roswell / Sandy Springs (Inbound)
213639,87 Roswell / Sandy Springs (Inbound)
213638,20L Rainbow / Fairington (Outbound)
213637,116 Redan (Outbound)
213636,194 Conley Road / Mt Zion (Outbound)
213635,194 Conley Road / Mt Zion (Inbound)
213633,116 Redan (Inbound)
213632,116 Redan (Outbound)
213631,115 Covington Hwy (Inbound)
213630,115 Covington Hwy (Outbound)
213629,17 Clairmont / Briarcliff (Outbound)
213625,89b Old National Highway / Riverdale (Outbound)
213624,"26a Perry / Hamilton E Holmes / Bolton (Inbound), 26b Perry / Hamilton E Holmes / Jackson (Inbound)"
213623,89b Old National Highway / Riverdale (Inbound)
213622,89b Old National Highway / Riverdale (Inbound)
213621,89b Old National Highway / Riverdale (Inbound)
213620,"191a Riverdale / Charlotte Woods (Inbound), 191b Riverdale / Flint River (Inbound), 196 Upper Riverdale (Outbound), 197 Battle Creek Road (Inbound)"
213619,89b Old National Highway / Riverdale (Outbound)
213618,89b Old National Highway / Riverdale (Outbound)
213617,89b Old National Highway / Riverdale (Outbound)
213616,115 Covington Hwy (Inbound)
213615,84a Washington CW loop (Inbound&Outbound)
213614,84b Washington CCW loop (Outbound)
213612,25 Peachtree / Chamblee (Outbound)
213609,34 Gresham (Outbound)
213608,"34 Gresham (Outbound), 74 Moreland / Flat Shoals (Inbound)"
213607,800 Lovejoy (Inbound)
213603,"20L Rainbow / Fairington (Inbound), 20p Rainbow / Fairington (Inbound)"
213602,800 Lovejoy (Inbound)
213601,800 Lovejoy (Inbound)
213600,800 Lovejoy (Inbound)
213599,800 Lovejoy (Inbound)
213598,7 Monroe / Abernathy (Outbound)
213597,7 Monroe / Abernathy (Inbound)
213596,7 Monroe / Abernathy (Outbound)
