StopAbbr,Route_EOL_exist,Route_Num_exist,Route_Count_exist,Route_EOL_bnr,Route_Num_bnr,Route_Count_bnr,_merge,Unchanged_Num,Unchanged_EOL
100004,"1_HE Holmes Stn, 68_West End Stn","['1', '68']",2,1_West End Stn,['1'],1.0,both,False,False
100006,"1_West End Stn, 68_HE Holmes Stn","['1', '68']",2,1_West End Stn,['1'],1.0,both,False,False
100008,"1_HE Holmes Stn, 68_West End Stn","['1', '68']",2,1_West End Stn,['1'],1.0,both,False,False
100010,"1_HE Holmes Stn, 68_West End Stn","['1', '68']",2,"1_West End Stn, 22_Ashview Triangle","['1', '22']",2.0,both,False,False
100012,"1_HE Holmes Stn, 68_West End Stn","['1', '68']",2,1_West End Stn,['1'],1.0,both,False,False
100014,"1_HE Holmes Stn, 68_West End Stn","['1', '68']",2,1_West End Stn,['1'],1.0,both,False,False
100016,68_HE Holmes Stn,['68'],1,,,,left_only,False,False
100017,68_HE Holmes Stn,['68'],1,,,,left_only,False,False
100022,68_Ashby Stn,['68'],1,,,,left_only,False,False
100024,"1_Moores Mill Ctr, 68_Ashby Stn","['1', '68']",2,"1_Arts Center Stn, 21_Kensington Stn, 22_Indian Creek Stn","['1', '21', '22']",3.0,both,False,False
100026,"1_Ashby Stn, 68_Moores Mill Ctr","['1', '68']",2,1_Arts Center Stn,['1'],1.0,both,False,False
100028,"1_Moores Mill Ctr, 68_Ashby Stn","['1', '68']",2,1_Arts Center Stn,['1'],1.0,both,False,False
100030,813_West Lake Stn,['813'],1,"21_West Lake Stn, 22_Ashview Triangle","['21', '22']",2.0,both,False,False
100032,813_West Lake Stn,['813'],1,"21_West Lake Stn, 22_Ashview Triangle","['21', '22']",2.0,both,False,False
100035,813_Georgia State Stn,['813'],1,21_Kensington Stn,['21'],1.0,both,False,False
100036,813_Georgia State Stn,['813'],1,21_Kensington Stn,['21'],1.0,both,False,False
100038,813_Georgia State Stn,['813'],1,21_Kensington Stn,['21'],1.0,both,False,False
100040,813_Georgia State Stn,['813'],1,,,,left_only,False,False
100042,813_West Lake Stn,['813'],1,,,,left_only,False,False
100043,813_West Lake Stn,['813'],1,,,,left_only,False,False
100044,813_Georgia State Stn,['813'],1,"21_Kensington Stn, 22_Indian Creek Stn","['21', '22']",2.0,both,False,False
100045,813_West Lake Stn,['813'],1,"21_West Lake Stn, 22_Ashview Triangle","['21', '22']",2.0,both,False,False
100046,"1_Moores Mill Ctr, 68_Ashby Stn","['1', '68']",2,1_Arts Center Stn,['1'],1.0,both,False,False
100048,"1_Moores Mill Ctr, 68_Ashby Stn","['1', '68']",2,,,,left_only,False,False
100050,3_Helene Mills Sr Ctr,['3'],1,3_Ashby Stn,['3'],1.0,both,True,False
100052,3_Helene Mills Sr Ctr,['3'],1,3_Ashby Stn,['3'],1.0,both,True,False
100054,3_Helene Mills Sr Ctr,['3'],1,3_Ashby Stn,['3'],1.0,both,True,False
100058,813_Georgia State Stn,['813'],1,,,,left_only,False,False
100060,813_West Lake Stn,['813'],1,,,,left_only,False,False
100061,813_Georgia State Stn,['813'],1,,,,left_only,False,False
100062,813_West Lake Stn,['813'],1,21_West Lake Stn,['21'],1.0,both,False,False
100063,813_Georgia State Stn,['813'],1,21_Kensington Stn,['21'],1.0,both,False,False
100066,813_Georgia State Stn,['813'],1,,,,left_only,False,False
100067,813_West Lake Stn,['813'],1,,,,left_only,False,False
100069,813_West Lake Stn,['813'],1,,,,left_only,False,False
100070,813_Georgia State Stn,['813'],1,,,,left_only,False,False
100074,58_Bolton/Parrot Ave,['58'],1,,,,left_only,False,False
