StopAbbr,BusStopType,LineAbbr,IsTP,IsEOL,Helper-0,Helper-1,Helper-2,Helper-3,Helper-4,Helper-5,Helper-6,Helper-7,Helper-8,Helper-9,Helper-10,Helper-11,EOL-0,EOL-1,EOL-2,EOL-3,EOL-4,EOL-5,EOL-6,EOL-7,EOL-8,EOL-9,EOL-10,EOL-11,EOL-12,CountEOL
100004,STR,1;68,FALSE,FALSE,100004-68-Westbound-6,100004-1-Southbound-28,,,,,,,,,,,West End Stn,HE Holmes Stn,,,,,,,,,,,,2
100006,STR,1;68,FALSE,FALSE,100006-1-Southbound-29,100006-68-Westbound-7,,,,,,,,,,,West End Stn,HE Holmes Stn,,,,,,,,,,,,2
100008,SGN,1;68,FALSE,FALSE,100008-68-Westbound-8,100008-1-Southbound-30,,,,,,,,,,,West End Stn,HE Holmes Stn,,,,,,,,,,,,2
100010,STR,1;68,FALSE,FALSE,100010-68-Westbound-9,100010-1-Southbound-31,,,,,,,,,,,West End Stn,HE Holmes Stn,,,,,,,,,,,,2
100012,SGN,1;68,FALSE,FALSE,100012-68-Westbound-10,100012-1-Southbound-32,,,,,,,,,,,West End Stn,HE Holmes Stn,,,,,,,,,,,,2
100014,SNT,1;68,FALSE,FALSE,100014-68-Westbound-11,100014-1-Southbound-33,,,,,,,,,,,West End Stn,HE Holmes Stn,,,,,,,,,,,,2
100016,SGN,68,FALSE,FALSE,100016-68-Westbound-12,,,,,,,,,,,,HE Holmes Stn,,,,,,,,,,,,,1
100017,SGN,68,FALSE,FALSE,100017-68-Westbound-13,,,,,,,,,,,,HE Holmes Stn,,,,,,,,,,,,,1
100022,SGN,68,FALSE,FALSE,100022-68-Eastbound-69,,,,,,,,,,,,Ashby Stn,,,,,,,,,,,,,1
100024,SGN,1;68,FALSE,FALSE,100024-1-Northbound-9,100024-68-Eastbound-72,,,,,,,,,,,Moores Mill Ctr,Ashby Stn,,,,,,,,,,,,2
100026,SGN,1;68,FALSE,FALSE,100026-68-Eastbound-73,100026-1-Northbound-10,,,,,,,,,,,Moores Mill Ctr,Ashby Stn,,,,,,,,,,,,2
100028,SGN,1;68,FALSE,FALSE,100028-1-Northbound-11,100028-68-Eastbound-74,,,,,,,,,,,Moores Mill Ctr,Ashby Stn,,,,,,,,,,,,2
100030,SGN,813,FALSE,FALSE,100030-813-Westbound-17,,,,,,,,,,,,West Lake Stn,,,,,,,,,,,,,1
100032,SGN,813,FALSE,FALSE,100032-813-Westbound-18,,,,,,,,,,,,West Lake Stn,,,,,,,,,,,,,1
100035,SGN,813,FALSE,FALSE,100035-813-Eastbound-22,,,,,,,,,,,,Georgia State Stn,,,,,,,,,,,,,1
100036,SGN,813,FALSE,FALSE,100036-813-Eastbound-21,,,,,,,,,,,,Georgia State Stn,,,,,,,,,,,,,1
100038,SGN,813,FALSE,FALSE,100038-813-Eastbound-20,,,,,,,,,,,,Georgia State Stn,,,,,,,,,,,,,1
100040,SGN,813,FALSE,FALSE,100040-813-Eastbound-19,,,,,,,,,,,,Georgia State Stn,,,,,,,,,,,,,1
