StopAbbr,Route_EOL_existing,Route_EOL_bnr,_merge,Unchanged
100004,"['1_HE Holmes Stn', '68_West End Stn']",['1_West End Stn'],both,FALSE
100006,"['1_West End Stn', '68_HE Holmes Stn']",['1_West End Stn'],both,FALSE
100008,"['1_HE Holmes Stn', '68_West End Stn']",['1_West End Stn'],both,FALSE
100010,"['1_HE Holmes Stn', '68_West End Stn']","['1_West End Stn', '22_Ashview Triangle']",both,FALSE
100012,"['1_HE Holmes Stn', '68_West End Stn']",['1_West End Stn'],both,FALSE
100014,"['1_HE Holmes Stn', '68_West End Stn']",['1_West End Stn'],both,FALSE
100016,['68_HE Holmes Stn'],,left_only,FALSE
100017,['68_HE Holmes Stn'],,left_only,FALSE
100022,['68_Ashby Stn'],,left_only,FALSE
100024,"['1_Moores Mill Ctr', '68_Ashby Stn']","['1_Arts Center Stn', '21_Kensington Stn', '22_Indian Creek Stn']",both,FALSE
100026,"['1_Ashby Stn', '68_Moores Mill Ctr']",['1_Arts Center Stn'],both,FALSE
100028,"['1_Moores Mill Ctr', '68_Ashby Stn']",['1_Arts Center Stn'],both,FALSE
100030,['813_West Lake Stn'],"['21_West Lake Stn', '22_Ashview Triangle']",both,FALSE
100032,['813_West Lake Stn'],"['21_West Lake Stn', '22_Ashview Triangle']",both,FALSE
100035,['813_Georgia State Stn'],['21_Kensington Stn'],both,FALSE
100036,['813_Georgia State Stn'],['21_Kensington Stn'],both,FALSE
100038,['813_Georgia State Stn'],['21_Kensington Stn'],both,FALSE
100040,['813_Georgia State Stn'],,left_only,FALSE
100042,['813_West Lake Stn'],,left_only,FALSE
100043,['813_West Lake Stn'],,left_only,FALSE
100044,['813_Georgia State Stn'],"['21_Kensington Stn', '22_Indian Creek Stn']",both,FALSE
100045,['813_West Lake Stn'],"['21_West Lake Stn', '22_Ashview Triangle']",both,FALSE
100046,"['1_Moores Mill Ctr', '68_Ashby Stn']",['1_Arts Center Stn'],both,FALSE
100048,"['1_Moores Mill Ctr', '68_Ashby Stn']",,left_only,FALSE
100050,['3_Helene Mills Sr Ctr'],['3_Ashby Stn'],both,FALSE
100052,['3_Helene Mills Sr Ctr'],['3_Ashby Stn'],both,FALSE
100054,['3_Helene Mills Sr Ctr'],['3_Ashby Stn'],both,FALSE
100058,['813_Georgia State Stn'],,left_only,FALSE
100060,['813_West Lake Stn'],,left_only,FALSE
100061,['813_Georgia State Stn'],,left_only,FALSE
100062,['813_West Lake Stn'],['21_West Lake Stn'],both,FALSE
100063,['813_Georgia State Stn'],['21_Kensington Stn'],both,FALSE
100066,['813_Georgia State Stn'],,left_only,FALSE
100067,['813_West Lake Stn'],,left_only,FALSE
100069,['813_West Lake Stn'],,left_only,FALSE
100070,['813_Georgia State Stn'],,left_only,FALSE
100074,['58_Bolton/Parrot Ave'],,left_only,FALSE
100076,['58_Bolton/Parrot Ave'],,left_only,FALSE
100078,['58_Bolton/Parrot Ave'],,left_only,FALSE
100080,['58_Bolton/Parrot Ave'],,left_only,FALSE
100082,['58_Bolton/Parrot Ave'],,left_only,FALSE
100084,['58_Bolton/Parrot Ave'],,left_only,FALSE
100086,['58_Bolton/Parrot Ave'],,left_only,FALSE
100088,['58_West End Stn'],,left_only,FALSE
100090,['58_West End Stn'],,left_only,FALSE
100092,['58_West End Stn'],,left_only,FALSE
100094,['58_West End Stn'],,left_only,FALSE
100096,['58_West End Stn'],,left_only,FALSE
100098,['58_West End Stn'],,left_only,FALSE
100100,['58_West End Stn'],,left_only,FALSE
100102,['58_Bolton/Parrot Ave'],,left_only,FALSE
100114,"['1_Ashby Stn', '68_Moores Mill Ctr']",['1_Arts Center Stn'],both,FALSE
100115,"['1_Ashby Stn', '68_Moores Mill Ctr']",['1_Arts Center Stn'],both,FALSE
100124,['3_HE Holmes Stn'],['3_HE Holmes Stn'],both,TRUE
100126,['3_HE Holmes Stn'],['3_HE Holmes Stn'],both,TRUE
100128,['3_Helene Mills Sr Ctr'],['3_Ashby Stn'],both,FALSE
100130,['3_HE Holmes Stn'],['3_HE Holmes Stn'],both,TRUE
100132,['3_Helene Mills Sr Ctr'],['3_Ashby Stn'],both,FALSE
100134,['3_HE Holmes Stn'],['3_HE Holmes Stn'],both,TRUE
100136,['3_Helene Mills Sr Ctr'],['3_Ashby Stn'],both,FALSE
100137,['3_Helene Mills Sr Ctr'],['3_Ashby Stn'],both,FALSE
100138,['3_HE Holmes Stn'],['3_HE Holmes Stn'],both,TRUE
100142,['3_HE Holmes Stn'],['3_HE Holmes Stn'],both,TRUE
100148,['3_HE Holmes Stn'],['3_HE Holmes Stn'],both,TRUE
100150,['3_HE Holmes Stn'],['3_HE Holmes Stn'],both,TRUE
100152,['813_Georgia State Stn'],,left_only,FALSE
100154,['813_West Lake Stn'],,left_only,FALSE
100160,['813_Georgia State Stn'],,left_only,FALSE
100162,['813_West Lake Stn'],"['21_West Lake Stn', '22_Ashview Triangle']",both,FALSE
100164,['3_Helene Mills Sr Ctr'],['3_Ashby Stn'],both,FALSE
100166,['58_Bolton/Parrot Ave'],,left_only,FALSE
100168,['813_West Lake Stn'],"['21_West Lake Stn', '22_Ashview Triangle']",both,FALSE
100170,['813_West Lake Stn'],,left_only,FALSE
101002,['68_HE Holmes Stn'],,left_only,FALSE
101006,['68_Ashby Stn'],,left_only,FALSE
101008,['68_Ashby Stn'],,left_only,FALSE
101010,['813_West Lake Stn'],"['21_West Lake Stn', '22_Ashview Triangle']",both,FALSE
101016,['813_West Lake Stn'],"['21_West Lake Stn', '22_Ashview Triangle']",both,FALSE
